Package,Score
graphql-relay,62
cma,62
ipython-sql,65
keybert,73
pyloudnorm,62
tableau-api-lib,62
progress,62
gfpgan,62
hatch-vcs,63
phik,63
ppscore,56
pytesseract,60
autocommand,63
crc32c,63
crccheck,63
face,63
jsonformatter,63
node-semver,63
pathlib-mate,63
pydispatcher,63
pyluach,63
sqlparams,63
libhoney,63
pycaret-ts-alpha,63
ttkbootstrap,63
django-esi,63
etna,60
helpdev,63
kfserving,63
openlocationcode,63
pwn,63
pytorch-lightning-bolts,63
spacy-nightly,63
acquisition,71
jmp,63
pytd,63
scrapyd-client,63
zodbpickle,75
aiodocker,63
assertpy,63
autocorrect,63
bitarray-hardbyte,61
chatterbot,63
django-floppyforms,63
django-paypal,63
djangosaml2idp,60
django-spaghetti-and-meatballs,63
django-storages-redux,63
draftjs-exporter,63
drf-jwt,63
faust,63
flask-rest-api,63
flask-restful-swagger,63
fontawesome-free,61
lckr-jupyterlab-variableinspector,63
mlperf-compliance,63
pilkit,78
proto-google-cloud-error-reporting-v1beta1,64
proto-google-cloud-spanner-admin-instance-v1,64
pydocumentdb,63
pytest-flask,66
python-terraform,63
robotframework-jsonschemalibrary,63
robotlibcore-temp,63
scour,63
sparkpost,63
stix2,63
tf-slim,63
a2wsgi,63
asgi-lifespan,63
ioc-fanger,54
py-postgresql,63
sqlalchemy-views,63
types-pysaml2,63
wurlitzer,68
adodbapi,63
aldjemy,63
brotlipy,63
ccm,63
neovim,63
office365-rest-client,63
pep257,62
requests-kerberos,63
robotframework-sshlibrary,62
searchtweets,63
virtualenvwrapper,63
wtforms-components,63
oletools,63
pyvim,61
pyvips,65
creme,66
dash-cytoscape,66
sphinx-autobuild,63
torchbiggraph,63
trufflehog,63
endesive,64
lovely-tensors,61
drf-writable-nested,66
awslimitchecker,64
django-background-tasks,64
django-summernote,64
dynamic-rest,64
fabric3,58
honcho,64
ptvsd,64
pykafka,64
seqeval,64
textract,58
webassets,64
dagster-cloud,64
nagisa,64
qcs-api-client,70
suod,64
aiohttp-cors,64
airtable-python-wrapper,64
carto,64
dash-html-components,64
django-admin-sortable,64
django-annoying,64
django-parler,64
djangoql,61
flask-oauthlib,64
flask-openid,61
forex-python,62
gmplot,64
google-apitools,64
imutils,61
keplergl,64
klio-core,64
lyricsgenius,64
marshmallow-oneofschema,64
mercantile,64
mrjob,64
oauth2,61
odfpy,64
pdfrw,64
pipfile,64
polyglot,64
py-mini-racer,64
pytest-fixture-config,64
pytest-profiling,64
pytest-shutil,64
requirements-parser,64
rlp,64
textstat,64
twython,64
fasttext-wheel,64
gluestick,67
json-fix,59
logical-unification,64
markdown-inline-graphviz-extension,64
mitmproxy-wireguard,59
mux-python,67
pylint-pydantic,73
python-gdcm,64
rlpycairo,64
gpiozero,82
scikit-optimize,64
arize,58
aioredis,64
atomicwrites,64
blessings,64
cfn-flip,64
coveralls,64
ffmpeg-python,64
halo,67
hyperopt,64
influxdb,64
intervaltree,64
jieba,64
premailer,64
textblob,64
yacs,61
yamale,64
korean-lunar-calendar,64
ndg-httpsclient,64
pytz-deprecation-shim,64
bumpversion,64
fusepy,64
tf-sentencepiece,64
graphql-server-core,64
vsts,64
xlwt,65
asyncclick,65
crossplane,62
sanic-jwt,65
errbot,65
autofaiss,68
emd-signal,65
flask-shell-ipython,65
okta-jwt-verifier,65
pangres,70
pdpbox,65
quantulum3,71
tentaclio,62
airiam,62
crhelper,65
deepctr,65
fastapi-crudrouter,71
formulas,65
importlab,68
kafka-python3,65
numpy-stl,65
tatsu,65
wit,65
model-archiver,65
proto-google-cloud-datastore-v1,68
pylatex,65
stone,65
torch-optimizer,65
uplink,64
etcd-sdk-python,73
scorecardpy,68
streamlit-image-coordinates,65
cli-helpers,65
dalex,68
deepface,65
ioc-finder,71
kiteconnect,63
lazypredict,56
nbval,65
platypus-opt,65
pyenv-win,65
robocorp-dialog,63
rollbar,65
scikit-learn-extra,65
snowflake-ingest,68
cheetah3,65
django-imagekit,80
drf-extensions,65
flask-debugtoolbar,65
flask-pymongo,65
pyenchant,65
pygal,65
readability-lxml,65
wasmer,65
wasmer-compiler-cranelift,65
mxnet,65
cityhash,65
cron-converter,62
cron-validator,68
dsnparse,65
etuples,65
fastkde,65
findlibs,65
flake8-todos,65
htmllistparse,65
ipyvue,65
kt-legacy,65
oauth2-client,65
pycstruct,65
pyiso8583,65
pylibftdi,65
pytest-integration-mark,65
skyfield-data,65
sqlalchemy-pytds,65
ngboost,65
pyerfa,65
blake3,65
contractions,65
coolname,65
cppyy-cling,65
darkdetect,65
dingtalkchatbot,65
django-restql,65
django-slack,65
fastapi-socketio,65
flake8-executable,65
flake8-return,65
htmlmin2,65
httpagentparser,65
logging-json,65
marketorestpython,65
marshmallow-polyfield,65
pan-python,65
ping3,62
posix-ipc,65
pyaml-env,65
pybloom-live,65
pyglm,65
pygtail,65
pymediainfo,65
pymqi,65
python-binary-memcached,65
python-dev-tools,65
qt-material,65
railroad-diagrams,65
robotremoteserver,65
sanic-cors,65
sbvirtualdisplay,65
schedula,65
simplewebsocketserver,65
sphinxcontrib-spelling,65
spur,65
srt,65
starred,65
swagger-spec-validator,68
teamcity-messages,65
tgcrypto,65
top2vec,65
uhashring,65
cement,65
doit,65
scikit-surprise,65
cftime,63
pgcli,65
airbyte-protocol-models,65
alibabacloud-openapi-util,63
azure-iot-hub,65
buildkite-test-collector,65
clvm-tools,65
covdefaults,65
cryptg,65
csvw,65
eml-parser,65
flake8-rst-docstrings,65
grpc-requests,73
html5tagger,65
methodtools,65
pynput-robocorp-fork,65
pytest-filter-subpackage,65
pytest-flakefinder,65
rangehttpserver,65
rpmfile,400
scim2-filter-parser,65
sphinx-external-toc,65
sphinx-thebe,65
swig,65
xopen,71
gspread-dataframe,65
audioread,400
deepdiff6,65
django-cron,65
djangorestframework-gis,68
dumb-init,65
hjson,65
ifaddr,65
markdownify,65
mechanize,400
mixpanel,65
pymannkendall,400
pyshp,400
tika,65
xmlsec,65
ldap3,502
realesrgan,65
qdldl,62
ws4py,65
fs,65
sqlmodel,70
dicttoxml,66
dragonfly-opt,57
grandalf,66
jaconv,66
json-log-formatter,66
naked,66
pymcubes,66
pyorc,66
pytest-instafail,66
pytest-random-order,66
sphinxcontrib-jquery,66
basicsr,66
datefinder,66
thop,66
torchdiffeq,66
clickhouse-cityhash,66
hstspreload,66
javaproperties,66
clean-fid,66
ghp-import,66
pywinrm,64
aws-kinesis-agg,66
blurb,62
classes,64
contextualized-topic-models,66
datatile,66
dgllife,66
norfair,66
statannotations,73
wafw00f,63
nvidia-pyindex,66
revchatgpt,63
apache-airflow-backport-providers-apache-cassandra,66
apache-airflow-backport-providers-apache-hdfs,66
apache-airflow-backport-providers-apache-livy,66
apache-airflow-backport-providers-databricks,66
apache-airflow-backport-providers-google,66
apache-airflow-backport-providers-mysql,66
apache-airflow-backport-providers-oracle,66
apache-airflow-backport-providers-postgres,66
apache-airflow-backport-providers-sftp,66
apache-airflow-backport-providers-slack,66
apache-airflow-backport-providers-snowflake,66
apache-airflow-backport-providers-ssh,66
apache-airflow-upgrade-check,66
azure-cli-acr,66
azure-cli-acs,66
azure-cli-advisor,66
azure-cli-appservice,66
azure-cli-backup,66
azure-cli-batch,66
azure-cli-batchai,66
azure-cli-billing,66
azure-cli-cdn,66
azure-cli-cloud,66
azure-cli-cognitiveservices,66
azure-cli-component,66
azure-cli-configure,66
azure-cli-consumption,66
azure-cli-container,66
azure-cli-cosmosdb,66
azure-cli-dla,66
azure-cli-dls,66
azure-cli-eventgrid,66
azure-cli-extension,66
azure-cli-feedback,66
azure-cli-find,66
azure-cli-interactive,66
azure-cli-iot,66
azure-cli-keyvault,66
azure-cli-lab,66
azure-cli-monitor,66
azure-cli-network,66
azure-cli-profile,66
azure-cli-rdbms,60
azure-cli-redis,66
azure-cli-reservations,66
azure-cli-resource,66
azure-cli-role,66
azure-cli-servicefabric,66
azure-cli-sql,66
azure-cli-vm,66
cupy-cuda100,66
cupy-cuda101,66
cupy-cuda90,66
cupy-cuda92,66
nlp,66
requests2,66
geonode,66
flexgen,66
infoblox-client,69
auditlog3,66
bpytop,63
ciphey,66
django-analytical,66
django-csp,66
facebookads,66
fb-idb,66
opentracing-async-instrumentation,66
pyenv,66
types-boto3,66
yb-cassandra-driver,66
youtube-dl2,64
tflite-model-maker,66
alibabacloud-tea-openapi,66
bigquery-schema-generator,65
ecs-deploy,70
fastecdsa,66
flake8-pyproject,62
flupy,66
optimizely-sdk,66
stomp-py,63
types-lxml,66
xdoctest,66
fastkml,66
presto-client,66
pycosat,84
python-cloudflare,66
python-constraint,66
python-escpos,60
selene,66
watson-developer-cloud,66
exifread,66
mod-wsgi,68
pybullet,66
pytorch-pretrained-bert,66
pytorch-transformers,66
sops,66
cvss,66
adjusttext,66
aiomultiprocess,66
gcld3,66
notifiers,66
tensorflowonspark,67
bosdyn-client,67
bosdyn-mission,67
cvzone,67
docusign-esign,64
flake8-requirements,62
netgraph,65
nudenet,67
opentsne,67
pyiqa,67
pytorch-toolbelt,67
resemblyzer,65
simpful,67
streamlit-option-menu,67
tomotopy,67
ipysheet,67
aliyun-python-sdk-core-v3,67
asyncio-nats-client,67
bowler,69
dash-table,69
django-braces,67
django-guardian,67
django-nose,67
django-polymorphic,67
facebook-sdk,67
flask-mongoengine,67
graphene-sqlalchemy,67
kafka,67
model-pruning-google-research,63
proto-google-cloud-pubsub-v1,68
pybluez,67
pyfunctional,67
pyld,67
pynini,67
pyowm,69
python-twitter,67
pyu2f,67
certbot-dns-azure,67
dbt-artifacts-parser,73
flake8-noqa,67
ip2location,67
jinja2-simple-tags,70
local-attention,67
mkdocs-glightbox,67
ml-wrappers,67
opendatalab,67
pybase62,67
pydantic-avro,73
pypi-simple,73
pytest-reporter-html1,67
simdkalman,67
simple-pid,70
statsd-python,67
torch-pitch-shift,67
ttp,70
u-msgpack-python,67
uptrace,67
zodb,70
anyascii,67
libretranslatepy,67
aiorwlock,67
dash-core-components,67
janus,67
mnemonic,67
pynvim,67
pysolr,67
pytest-repeat,85
smmap2,67
fasttext,67
llama-index,67
drf-spectacular-sidecar,67
fastrlock,67
flask-json,67
formulae,67
kubernetes-validate,67
llvm-installer,67
mailosaur,67
mo-dots,67
mo-future,67
mo-imports,67
mo-kwargs,67
mo-logs,67
mo-parsing,67
pccm,64
pylogbeat,67
pytictoc,67
snowflake,67
tox-battery,67
typeapi,67
pdf2image,70
environs,67
raven,67
typed-ast,67
convertdate,67
fredapi,67
python3-openid,67
python-editor,67
construct,67
msgpack-python,67
pdfkit,67
pyelftools,67
pympler,67
pyppeteer,70
pysnmp,67
python-nvd3,67
usaddress,67
watchgod,67
clang,63
english-words,67
flake8-plugin-utils,67
jdcal,67
mbstrdecoder,67
typepy,70
urllib3-secure-extra,67
sendgrid-python,67
xstatic-bootstrap-datepicker,67
wechatpy,67
msal-extensions,73
hydra-optuna-sweeper,68
backcall,68
backports-zoneinfo,68
locket,68
pure-eval,68
pytzdata,70
slicer,68
cityscapesscripts,68
clip-client,68
essentia,69
flask-pydantic-spec,78
museval,68
ogb,63
parsedmarc,74
pywebio,68
rasterstats,69
scattertext,68
spektral,68
fastbook,68
mozilla-django-oidc,68
mxnet-cu112,62
python3-indy,68
rocketry,74
twitter-ads,65
webexteamssdk,68
gax-google-logging-v2,68
gax-google-pubsub-v1,68
grpc-google-logging-v2,68
grpc-google-pubsub-v1,68
pillow-simd,68
aws-sso-util,68
langchain-serve,68
python-lsp-black,65
pyturbojpeg,61
quantecon,68
riskfolio-lib,68
watermark,65
drain3,68
google-cloud-dns,68
google-cloud-runtimeconfig,68
hub,68
pandastable,68
pandavro,68
petastorm,68
pysmt,68
sphinx-tabs,68
sumy,63
tensorly,68
blingfire,68
datatable,400
treq,71
webtest,68
yellowbrick,68
airflow-dbt-python,400
apeye-core,68
autodocsumm,68
boostedblob,73
cons,400
crc,70
crontab,62
deprecation-alias,68
django-admin-inline-paginator,68
fcache,68
flake8-broken-line,68
google-api-python-client-stubs,68
libusb-package,68
logtail-python,68
pamela,68
pandas-flavor,65
pbtools,68
proxy-protocol,68
pyaescrypt,68
pytest-pretty,63
pyyaml-include,68
requests-auth,68
ai2thor,68
aioblescan,65
aioprometheus,68
airflow-provider-great-expectations,68
amqpstorm,68
asn1,65
bloodhound,68
canopen,68
contextily,81
cyrtranslit,65
dataclass-wizard,68
datascience,68
detoxify,68
django-watson,68
drf-access-policy,68
dukpy,68
evdev,68
fastnumbers,68
filprofiler,68
flake8-html,68
flake8-import-order,68
flake8-logging-format,68
flask-sock,75
jsonrpcclient,68
keras-ocr,68
lkml,68
minisom,68
modbus-tk,68
nptyping,68
nutter,68
paddleclas,68
pebble,68
persistent,75
plyvel,68
prefect-dbt,74
pusher,68
pylti1p3,68
pymap3d,68
pynmea2,68
pytest-cases,71
rtoml,68
serverless-wsgi,75
systemd-python,68
technical,68
transaction,68
twitterapi,65
uiautomation,68
urlextract,68
yamlpath,68
pyston,68
pyston-autoload,68
recommenders,68
moviepy,68
alibabacloud-tea,68
construct-typing,68
flake8-annotations-complexity,68
lexery,68
looseversion,65
mparticle,68
pylsqpack,62
pytest-freezer,68
statsig,71
aiodataloader,68
codetiming,68
easydict,59
emoji-country-flag,68
everett,68
file-read-backwards,68
lazy-imports,68
mapbox-vector-tile,68
markdown-include,68
nacos-sdk-python,68
paramiko-expect,66
plotext,68
pyapacheatlas,71
pycdlib,68
pycoin,68
pyqt5-tools,68
py-serializable,76
pytest-messenger,68
pytest-subprocess,68
robotframework-seleniumtestability,68
selinux,68
soco,71
starlette-context,68
xdis,71
zhdate,68
zipfly,68
auraloss,68
effdet,68
scs,64
asciimatics,62
discum,68
dpkt,68
phonemizer,68
polyaxon,68
sshuttle,68
textfsm,68
missingno,68
agate-sql,76
dvc-http,68
patchelf,68
repoze-who,68
zigpy-zigate,68
ansi2html,66
configupdater,68
dataprep,66
bert-score,68
cartoframes,68
circus,68
cloudformation-cli-typescript-plugin,74
dtaidistance,66
easy-thumbnails,68
eel,68
fastapi-cache2,74
motmetrics,65
mpld3,71
pretty-midi,68
pymoo,68
dictdiffer,68
pyusb,68
requirements-detector,68
deepmerge,68
dnslib,68
ldapdomaindump,68
micloud,68
pycares,74
pycoingecko,68
pyscreenshot,68
pyxlsb,68
sly,68
snoop,68
sphinx-argparse,68
stackprinter,68
sure,68
telegraph,68
yattag,68
reactivex,68
elasticsearch-dbapi,71
envier,69
eth-keyfile,69
flake8-black,69
wordfreq,69
feedparser,78
gprof2dot,69
imagehash,60
lizard,69
pysimdjson,69
cssselect2,69
django-taggit-autosuggest,69
pyhamcrest,69
python-docx,69
otree,71
rethinkdb,71
editdistance,72
btrees,71
dm-sonnet,69
kivymd,69
pyctcdecode,66
click8,64
dagster-cron,69
discord2,69
django-form-utils,69
elasticsearch1,69
jinja,69
pytest-shell,69
torchgeometry,69
types-selenium,69
flask-caching,69
crispy-bootstrap5,60
django-sendgrid-v5,69
imageai,69
pycuda,69
pyroma,69
pysyncobj,69
steam,69
testcontainers-core,69
testcontainers-postgres,69
torch-scatter,71
wechaty,69
dse-driver,69
goodtables,69
google-fhir,69
msgraph-core,69
opencensus-ext-google-cloud-clientlibs,69
opencensus-ext-grpc,69
opencensus-ext-prometheus,69
opencensus-ext-zipkin,69
pybigquery,69
thefuck,67
aws-encryption-sdk,69
accessible-pygments,68
django-log-request-id,69
django-registration-redux,69
mode-streaming,72
prefect-shell,79
reedsolo,69
awsiotpythonsdk,68
mesh-tensorflow,69
eth-brownie,69
vaex-astro,66
vaex-hdf5,69
ansible-cached-lookup,69
apache-airflow-backport-providers-microsoft-azure,69
letsencrypt,69
onnxruntime-tools,69
pymc3,73
alpaca-trade-api,69
androidviewclient,69
blspy,69
cyvcf2,69
django-filebrowser,69
duo-client,72
facenet-pytorch,65
jplephem,69
lasio,69
pytest-monitor,65
transformers-interpret,65
vectorbt,69
dbt,69
django-rest-knox,69
gin-config,69
interrogate,69
powerline-status,69
testinfra,69
zmq,69
cherrypy,68
papermill,70
antropy,65
appier,70
autodoc-pydantic,74
bincopy,70
borgmatic,68
cairo-lang,70
clvm,70
cnocr,70
compel,70
django-s3-storage,70
docspec,70
docspec-python,70
epiweeks,70
extra-streamlit-components,70
fastapi-amis-admin,78
flagembedding,70
imgviz,70
invenio-theme,66
ipyvuetify,70
ja-ginza,72
ltp-extension,70
lumigo-opentelemetry,70
mammoth,70
micawber,70
minify-html,70
noisereduce,70
nomic,70
nuclio-jupyter,70
openedx-django-pyfs,72
openmetadata-sqllineage,70
piml,73
prometheus-api-client,70
pyhdfe,70
pykeops,68
pytorch-msssim,70
ragas,72
readtime,70
spyder-kernels,70
stockstats,68
tensorflow-lattice,72
tfrecord,70
wagon,70
aws-sso-lib,70
bashlex,70
djangorestframework-camel-case,72
azure-storage-nspkg,70
django-contrib-comments,67
django-recaptcha,70
flaky,70
amplpy,73
autoray,70
checkdigit,68
chromedriver-py,70
django-db-mutex,66
django-unicorn,70
domdf-python-tools,70
esp-idf-kconfig,70
flake8-2020,70
flake8-annotations,71
growthbook,70
ibm-cos-sdk-core,70
ibm-cos-sdk-s3transfer,70
ixnetwork-restpy,70
lameenc,70
lazy,70
portion,70
pybtex-docutils,70
py-dmidecode,70
pytest-reportlog,70
pytest-xvfb,70
recordclass,70
sigfig,70
solders,70
std-uritemplate,70
streamlit-card,68
trace-updater,65
typeshed-client,70
varname,70
id,79
libhxl,70
lightgbm-ray,67
modern-treasury,76
orange-canvas-core,69
shrub-py,79
tinyscaler,70
voxel51-eta,70
zi-api-auth-client,68
itemadapter,70
subprocess-tee,70
pyscreeze,70
lightfm,70
parsimonious,70
docker-compose,70
coinmetrics-api-client,70
flake8-deprecated,73
flake8-markdown,70
glcontext,70
json-ref-dict,68
nocasedict,70
openvino-telemetry,70
rockset,70
spacy-alignments,70
transformer-smaller-training-vocab,70
unicon,70
yamlordereddictloader,70
ddddocr,70
sewar,70
sklearn2pmml,70
aws-psycopg2,70
aws-requests-auth,70
click-man,73
jaydebeapi,70
junit-xml,70
mergedeep,70
protobuf3-to-dict,70
smdebug-rulesconfig,73
bump2version,70
editorconfig,70
html2text,70
lark-parser,70
rx,70
constantly,70
html5-parser,70
langcodes,70
leather,70
pyzstd,67
terminaltables,70
astunparse,70
markdown2,70
altgraph,75
dataproperty,70
django-js-asset,70
sphinx-basic-ng,67
tabledata,70
tcolorpy,70
algorithms,69
oauth2client,70
click-plugins,70
entrypoints,70
fqdn,68
isoduration,70
mdurl,70
pathtools,70
pkgutil-resolve-name,70
pytimeparse,70
requests-file,70
rfc3986-validator,70
text-unidecode,70
databricks-mosaic,72
django-machina,70
rlcard,70
cligj,71
webencodings,71
askbot,70
configspace,71
django-markdownx,65
hidapi,71
mkdocs-mermaid2-plugin,71
mkdocs-table-reader-plugin,71
polyscope,71
pyarango,71
pybedtools,71
quantstats,68
scienceplots,71
sphinxext-opengraph,71
vit-pytorch,71
wfdb,72
xmldiff,68
atlassian-jwt,71
azure-iot-device,71
django-avatar,71
gekko,71
hydra-submitit-launcher,71
opentimelineio,71
pelican,71
whisper,65
django-sortedm2m,68
spark-testing-base,71
2captcha-python,71
accesscontrol,74
asgi-correlation-id,71
asyncmy,71
asyncstdlib,75
casbin-sqlalchemy-adapter,71
cdk-iam-floyd,71
django-mock-queries,71
docker-squash,71
github-backup,74
googlesearch-python,66
grpc-stubs,76
guppy3,71
hypothesis-graphql,71
iam-floyd,71
ibm-db-sa,71
lsassy,66
mkdocs-gen-files,71
numerizer,67
pip-chill,71
ptflops,71
pygubu,71
pyodps,71
pypykatz,78
pytest-watcher,71
python-dxf,71
python-iso639,71
pyxirr,70
riotwatcher,71
scikeras,74
spacy-lookups-data,71
starsessions,78
structlog-sentry,71
toml-sort,71
trogon,71
usaddress-scourgify,68
zhon,71
kubeflow-training,71
libpysal,84
salesforce-lavis,69
aioxmpp,71
fab-classic,71
git-filter-repo,71
pbxproj,62
tradingview-ta,62
uc-micro-py,71
assemblyline-client,71
blobfile,73
flake8-variables-names,71
flask-cloudflared,65
fortifyapi,71
geonamescache,68
hdx-python-utilities,74
humbug,71
mord,71
plyfile,71
pychrome,71
pywerview,77
roman,71
rtfde,71
singlestoredb,71
sphinxcontrib-katex,68
striprtf,74
timing-asgi,71
tlds,71
asynch,69
broadlink,71
clingo,71
coincurve,71
contentful,71
django-cities,62
django-eventstream,71
django-nested-inline,71
django-sass-processor,71
django-scheduler,71
django-templated-email,68
elephas,68
exhale,62
flake8-pytest-style,71
gmpy2,71
julia,71
lesscpy,71
lingua-language-detector,82
mirakuru,71
osmium,71
py2exe,71
pygeoif,62
pymyq,71
pypandoc-binary,71
pytest-nunit,71
pytest-responses,68
python-iptables,71
python-snap7,69
python-xlib,71
rich-click,71
robotframework-appiumlibrary,71
salt-lint,74
sentinelsat,71
simple-term-menu,71
sphinxcontrib-httpdomain,71
spidev,71
torch-cluster,71
torch-sparse,71
tox-travis,68
xattr,71
xdg,71
docxtpl,71
jupyterlab-code-formatter,71
onnxoptimizer,71
pandarallel,71
pyts,71
cpplint,71
django-dbbackup,71
iopath,71
qdarkstyle,71
stringcase,71
alt-profanity-check,74
pydevicetree,71
skia-pathops,71
eip712,71
iterative-telemetry,71
pytest-datadir,76
unicodedata2,79
advertools,71
invisible-watermark,68
jupyter-server-fileid,67
k-diffusion,71
paste,79
