,Unnamed: 0,Id,Label,Degree,Pageranks,Eigencentrality,Package,FinalRiskScore,In_reach,Agg_RS),Agg_RS20),Agg_RS30),Agg_RS50),Agg_RS70)
1786,1786,1786,hyrontools-1.0.2,2,3.5e-05,0.0,hyrontools,0.847567802,49,31.839142413999998,31.839142413999998,30.075016936,29.575232456,17.3895305
1787,1787,1787,hyron-0.2.1,6,5e-05,0.00046,hyron,0.847350293,34,23.280962776,23.280962776,23.280962776,23.280962776,11.095260819999996
1788,1788,1788,metaloader-0.4.0,3,4.3e-05,0.00048,metaloader,0.847375145,4,2.818557102,2.818557102,2.818557102,2.818557102,0.847375145
1789,1789,1789,plugable-1.2.2,2,6.2e-05,0.00096,plugable,0.671641247,1,0.671641247,0.671641247,0.671641247,0.671641247,0.0
1790,1790,1790,py-mini-racer-0.6.0,2,4.5e-05,0.00096,py-mini-racer,0.777190232,1,0.777190232,0.777190232,0.777190232,0.777190232,0.777190232
1791,1791,1791,py-radix-0.10.0,1,4.3e-05,0.00048,py-radix,0.783294417,1,0.783294417,0.783294417,0.783294417,0.783294417,0.783294417
1792,1792,1792,house-info-0.0.4,4,3.5e-05,0.0,house-info,0.847642743,55,36.739330122000005,36.739330122000005,35.43486058700001,35.43486058700001,21.402603578999994
1793,1793,1793,guoya-tools-1.3.2,10,5e-05,0.00046,guoya-tools,0.850992513,34,22.936181708999996,22.936181708999996,22.936181708999996,22.479275912,10.889354092999998
1794,1794,1794,allure-pytest-2.7.0,4,4e-05,0.00048,allure-pytest,0.736197466,15,10.45911585,10.45911585,10.45911585,10.002210053,6.855646590999999
1795,1795,1795,pinyin-0.4.0,1,4e-05,0.00048,pinyin,0.671641247,1,0.671641247,0.671641247,0.671641247,0.671641247,0.0
1796,1796,1796,pymysql-0.9.3,3,7.7e-05,0.00142,pymysql,0.845259904,1,0.845259904,0.845259904,0.845259904,0.845259904,0.845259904
1797,1797,1797,pytest-5.0.1,18,0.00019,0.00436,pytest,0.456905797,12,8.228311557000001,8.228311557000001,8.228311557000001,7.77140576,4.624842298
1798,1798,1798,python-dateutil-2.8.0,6,5.9e-05,0.0019,python-dateutil,0.838665925,3,2.355484647,2.355484647,2.355484647,2.355484647,2.355484647
1799,1799,1799,pyyaml-5.1.1,2,4.3e-05,0.00094,pyyaml,0.582502359,1,0.582502359,0.582502359,0.582502359,0.582502359,0.0
1800,1800,1800,requests-2.22.0,26,0.000142,0.00774,requests,0.515598341,11,6.5818915239999995,6.5818915239999995,6.5818915239999995,6.5818915239999995,0.740379799
1801,1801,1801,xlrd-1.2.0,10,9.2e-05,0.00464,xlrd,0.676061779,1,0.676061779,0.676061779,0.676061779,0.676061779,0.0
1802,1802,1802,allure-python-commons-2.7.0,4,4.6e-05,0.00048,allure-python-commons,0.736197466,4,2.929148601,2.929148601,2.929148601,2.929148601,2.322152953
1803,1803,1803,atomicwrites-1.4.1,5,0.000103,0.00256,atomicwrites,0.768767604,1,0.768767604,0.768767604,0.768767604,0.768767604,0.768767604
1804,1804,1804,six-1.12.0,19,0.000268,0.00917,six,0.758409361,1,0.758409361,0.758409361,0.758409361,0.758409361,0.758409361
1805,1805,1805,idna-2.8,10,0.000155,0.00568,idna,0.638660348,1,0.638660348,0.638660348,0.638660348,0.638660348,0.0
