Package,Overall,FinalRiskScore,Score,Id,Label,Degree,Pageranks,Eigencentrality,In_reach
mongoengine,0.0,0.780728663,86,4170,mongoengine-0.27.0,7,7e-05,0.00274,3
odfpy,0.0,0.63417374,64,1426,odfpy-1.4.1,2,3.9e-05,0.00055,2
jupyter-ydoc,0.0,0.644051039,85,2256,jupyter-ydoc-0.2.4,3,5.5e-05,0.00112,2
hatch,0.0,0.63175841,80,4556,hatch-1.7.0,18,7.9e-05,0.00091,61
pdfkit,0.0,0.751340945,67,3752,pdfkit-1.0.0,3,7.9e-05,0.00137,1
click-help-colors,0.0,0.653581377,79,2025,click-help-colors-0.9.1,5,5.1e-05,0.00183,2
crccheck,0.0,0.694356923,63,6497,crccheck-1.3.0,2,5.3e-05,0.00091,1
hnswlib,0.0,0.625238198,78,3873,hnswlib-0.7.0,1,3.5e-05,0.0,2
naked,0.0,0.809601718,66,535,naked-0.1.32,4,8.3e-05,0.00094,29
robotframework-jsonlibrary,0.0,0.671641247,61,4869,robotframework-jsonlibrary-0.5,4,3.8e-05,0.00046,23
sktime,0.0,0.575780156,94,6710,sktime-0.17.1,7,3.9e-05,0.00046,26
sqlparams,0.0,0.737918625,63,9823,sqlparams-5.1.0,1,6.2e-05,0.00048,1
ortools,0.0,0.656120218,97,4614,ortools-9.6.2534,9,6.2e-05,0.00187,11
moviepy,0.0,0.671870351,68,1881,moviepy-1.0.3,10,5.1e-05,0.00144,42
slacker,0.0,0.674742393,61,13176,slacker-0.14.0,2,4.5e-05,0.00048,28
pyautogui,0.0,0.748294052,74,2218,pyautogui-0.9.53,11,8.7e-05,0.00229,9
pyscreeze,0.0,0.776258033,70,2222,pyscreeze-0.1.28,1,4.7e-05,0.00057,1
anytree,0.0,0.761463061,77,1265,anytree-2.8.0,13,0.00011,0.00553,2
paste,0.0,0.72958386,79,8984,paste-1.7.5.1,1,4e-05,0.00046,1
halo,0.0,0.755382427,67,3243,halo-0.0.31,14,7.3e-05,0.00368,7
validate-email,0.0,0.710492295,61,3235,validate-email-1.3,5,6.9e-05,0.00235,1
ml-collections,0.0,0.767074014,70,6626,ml-collections-0.1.0,6,4.5e-05,0.00096,5
ypy-websocket,0.0,0.716770039,79,2259,ypy-websocket-0.8.2,5,4.7e-05,0.00048,5
plaid-python,0.0,0.734141695,88,8126,plaid-python-12.0.0,4,3.8e-05,0.00046,17
jupyter-server-ydoc,0.0,0.627052631,77,2255,jupyter-server-ydoc-0.8.0,4,4.3e-05,0.00063,74
pytweening,0.0,0.812711999,71,2223,pytweening-1.0.4,1,4.7e-05,0.00057,1
jupyter-server-fileid,0.0,0.671641247,67,2258,jupyter-server-fileid-0.9.0,4,4.7e-05,0.00048,67
editorconfig,0.0,0.615175815,70,9112,editorconfig-0.12.3,2,6.7e-05,0.00098,1
fixtures,0.0,0.774022454,74,3468,fixtures-4.0.1,3,6.6e-05,0.00103,2
frictionless,0.0,0.713074339,94,1626,frictionless-5.11.1,21,3.8e-05,0.00048,80
webtest,0.0,0.671641247,68,4841,webtest-3.0.0,5,4.2e-05,0.00094,6
polyline,0.0,0.92683997,79,8226,polyline-2.0.0,1,4e-05,0.00048,1
oci,0.0,0.733354928,90,9995,oci-2.98.0,7,3.9e-05,0.00046,14
rauth,0.0,0.595276741,61,3312,rauth-0.7.3,7,9.8e-05,0.00231,32
jsbeautifier,0.0,0.671641247,80,9109,jsbeautifier-1.14.7,4,5e-05,0.00094,3
clickhouse-sqlalchemy,0.0,0.748416767,82,2177,clickhouse-sqlalchemy-0.2.3,5,4.7e-05,0.00091,35
scikit-optimize,0.0,0.585938872,64,1602,scikit-optimize-0.9.0,11,4.6e-05,0.00185,16
luigi,0.0,0.505522647,91,1161,luigi-3.0.2,4,4.5e-05,0.00046,9
pydata-sphinx-theme,0.0,0.580181534,88,12081,pydata-sphinx-theme-0.13.3,9,3.7e-05,0.00046,53
googletrans,0.0,0.623037385,61,7835,googletrans-3.0.0,2,4.1e-05,0.00046,14
awslambdaric,0.0,0.640042858,90,12397,awslambdaric-2.0.4,2,5e-05,0.00046,2
google-cloud-profiler,0.0,0.657392911,79,12392,google-cloud-profiler-4.0.0,5,3.5e-05,0.0,67
clang-format,0.0,0.414793486,79,8684,clang-format-14.0.6,1,3.9e-05,0.00046,1
yattag,0.0,0.704894218,68,9466,yattag-1.15.1,2,4.7e-05,0.00094,1
hypercorn,0.0,0.745799687,80,919,hypercorn-0.14.3,9,5.6e-05,0.0019,9
crontab,0.0,0.789486779,62,9303,crontab-0.22.9,1,6.5e-05,0.00046,1
venusian,0.0,0.68258844,72,2975,venusian-3.0.0,3,0.000105,0.00171,1
httpretty,0.0,0.717177621,64,2125,httpretty-1.1.4,2,4.6e-05,0.00091,1
stdlib-list,0.0,0.709881516,76,9841,stdlib-list-0.8.0,1,3.7e-05,0.00046,1
looseversion,0.0,0.831780352,65,4342,looseversion-1.1.2,3,4.5e-05,0.00144,1
jupyter-contrib-nbextensions,0.0,0.708736527,74,3829,jupyter-contrib-nbextensions-0.7.0,11,3.6e-05,0.00046,74
robotframework-pabot,0.0,0.740450452,77,4870,robotframework-pabot-2.15.0,4,3.8e-05,0.00046,4
flasgger,0.0,0.581814652,83,4076,flasgger-0.5.13,5,4.2e-05,0.00046,30
gym,0.0,0.678585024,71,83,gym-0.26.2,114,0.00153,0.05042,5
ibm-cloud-sdk-core,0.0,0.773854637,85,9865,ibm-cloud-sdk-core-3.16.5,5,4.2e-05,0.00046,34
spacy-transformers,0.0,0.554498727,76,4356,spacy-transformers-1.1.7,6,4.1e-05,0.00048,176
statistics,0.0,0.758331329,72,3652,statistics-1.0.3.5,7,4.9e-05,0.00229,3
pyenchant,0.0,0.736753034,65,2337,pyenchant-3.2.2,3,7.9e-05,0.00137,1
gymnasium,0.0,0.515667102,93,359,gymnasium-0.26.3,4,3.6e-05,0.00059,4
easydict,0.0,0.654653041,59,1695,easydict-1.10,2,6e-05,0.00091,1
pyviz-comms,0.0,0.760711599,79,6243,pyviz-comms-2.2.1,4,5.2e-05,0.00159,2
simpervisor,0.0,0.725931714,73,1698,simpervisor-0.4,1,5.5e-05,0.0005,1
pydrive,0.0,0.747704527,61,9921,pydrive-1.3.1,5,6.9e-05,0.00091,69
fortnitepy,0.0,0.666419475,74,13418,fortnitepy-3.6.8,3,4e-05,0.00046,43
gnupg,0.0,0.589732133,64,5343,gnupg-2.3.1,1,3.5e-05,0.0,2
grimp,0.0,0.664988017,76,12191,grimp-2.3,1,3.5e-05,0.0,2
libsass,0.0,0.666341024,83,4184,libsass-0.22.0,3,7e-05,0.00137,1
plaster,0.0,0.805602846,76,2973,plaster-1.1.2,2,8e-05,0.00126,1
undetected-chromedriver,0.0,0.711254512,79,13466,undetected-chromedriver-3.4.6,4,3.9e-05,0.00046,42
ipfshttpclient,0.0,0.621951575,72,10681,ipfshttpclient-0.7.0,3,3.9e-05,0.00048,33
pyfcm,0.0,0.746546735,65,1246,pyfcm-1.5.4,3,6.5e-05,0.00046,28
mobly,0.0,0.726498384,87,8032,mobly-1.12.1,3,4.1e-05,0.00046,5
pytest-doctestplus,0.0,0.744036139,75,11491,pytest-doctestplus-0.12.1,4,3.8e-05,0.00046,12
ptvsd,0.0,0.562451143,64,1456,ptvsd-4.3.2,1,3.7e-05,0.00046,1
asyncache,0.0,0.648475634,83,10230,asyncache-0.3.1,2,3.7e-05,0.00046,2
pyactiveresource,0.0,0.777673525,60,6053,pyactiveresource-2.2.2,2,4.5e-05,0.00046,2
pyngrok,0.0,0.794940387,81,4120,pyngrok-6.0.0,4,5.9e-05,0.00139,2
python-semantic-release,0.0,0.700979631,90,3860,python-semantic-release-7.28.1,12,4e-05,0.00046,71
google-cloud-run,0.0,0.811894152,81,1775,google-cloud-run-0.7.1,4,3.5e-05,0.0,52
marisa-trie,0.0,0.760984632,82,12917,marisa-trie-0.7.8,2,0.000104,0.00048,2
farama-notifications,0.0,0.671641247,62,7690,farama-notifications-0.0.4,1,4.4e-05,0.00052,1
capstone,0.0,0.671641247,88,2928,capstone-5.0.0,2,7e-05,0.00098,1
typed-argument-parser,0.0,0.691677843,72,6313,typed-argument-parser-1.7.2,3,3.7e-05,0.00046,5
flask-testing,0.0,0.738015415,60,7963,flask-testing-0.8.1,2,3.6e-05,0.00048,11
xdg,0.0,0.724557075,71,248,xdg-5.1.1,3,5.4e-05,0.00137,1
django-autocomplete-light,0.0,0.69239186,82,6931,django-autocomplete-light-3.9.4,3,4.9e-05,0.00094,2
accessible-pygments,0.0,0.683862722,68,11580,accessible-pygments-0.0.4,2,3.9e-05,0.00048,2
pymodbus,0.0,0.639758557,85,3977,pymodbus-3.2.2,4,8e-05,0.00139,2
nextcord,0.0,0.518066187,90,3703,nextcord-2.2.0,3,3.7e-05,0.00046,27
sphinx-gallery,0.0,0.638823712,81,2843,sphinx-gallery-0.13.0,4,4.5e-05,0.00137,48
djangorestframework-camel-case,0.0,0.753477442,72,8568,djangorestframework-camel-case-1.4.2,1,4.5e-05,0.00046,1
wikipedia,0.0,0.68507862,61,175,wikipedia-1.4.0,4,4.6e-05,0.00091,31
linear-operator,0.0,0.745780557,84,1008,linear-operator-0.4.0,4,6.4e-05,0.00057,65
apeye-core,0.0,0.684121949,68,11129,apeye-core-1.1.2,3,4.3e-05,0.00048,5
sphinx-click,0.0,0.677831262,78,1400,sphinx-click-4.4.0,4,4.1e-05,0.00048,49
deap,0.0,0.747553457,80,8212,deap-1.3.3,4,7.2e-05,0.00137,2
hyperpyyaml,0.0,0.83650795,76,9367,hyperpyyaml-1.2.0,2,3.5e-05,0.0,4
httpie-edgegrid,0.0,0.77332306,75,4127,httpie-edgegrid-2.1.1,3,3.5e-05,0.0,55
gptcache,0.0,0.671641247,85,2307,gptcache-0.1.11,4,3.8e-05,0.00048,50
shodan,0.0,0.67806785,80,10215,shodan-1.28.0,6,3.6e-05,0.00046,32
quart,0.0,0.723243815,87,917,quart-0.18.4,10,6.5e-05,0.00094,20
kaggle,0.0,0.754869091,86,9225,kaggle-1.5.13,9,5.5e-05,0.00091,34
tracerite,0.0,0.671641247,63,6222,tracerite-1.1.0,2,3.9e-05,0.0005,2
pandoc,0.0,0.673691053,62,5699,pandoc-2.3,6,5.5e-05,0.00183,3
feature-engine,0.0,0.742634461,82,5738,feature-engine-1.6.0,6,3.8e-05,0.00046,31
copier,0.0,0.723448927,85,9398,copier-2.3.3,4,4.1e-05,0.00046,7
jaxtyping,0.0,0.794406865,85,4340,jaxtyping-0.2.15,9,6.1e-05,0.0024,5
google-search-results,0.0,0.780160158,74,2698,google-search-results-2.4.2,1,3.5e-05,0.0,28
vobject,0.0,0.674890024,60,4299,vobject-0.9.6.1,3,7.4e-05,0.00091,4
dbus-fast,0.0,0.642201275,76,3349,dbus-fast-1.84.2,4,9.6e-05,0.00155,2
ebooklib,0.0,0.613535185,72,6400,ebooklib-0.18,5,6.9e-05,0.00094,4
python-whois,0.0,0.739410472,60,2559,python-whois-0.8.0,4,4e-05,0.00137,2
zmq,0.0,0.616716589,69,7774,zmq-0.0.0,2,3.7e-05,0.00048,2
clvm-tools-rs,0.0,0.63244418,76,5031,clvm-tools-rs-0.1.30,2,5.8e-05,0.00094,1
events,0.0,0.651184651,74,9565,events-0.4,4,5.8e-05,0.00183,1
skyfield,0.0,0.668021122,65,5387,skyfield-1.46,8,6.9e-05,0.00139,6
pyshorteners,0.0,0.75931611,60,8889,pyshorteners-1.0.1,2,4.2e-05,0.00046,28
pytools,0.0,0.812442757,77,8848,pytools-2022.1.14,14,0.00019,0.00596,3
impacket,0.0,0.833352061,88,135,impacket-0.10.0,10,4.2e-05,0.00046,26
scikit-surprise,0.0,0.747884945,65,11052,scikit-surprise-1.1.3,4,3.9e-05,0.00046,10
gluonts,0.0,0.567195481,87,10978,gluonts-0.12.6,6,3.5e-05,0.0,24
graphql-server-core,0.0,0.765123844,64,5148,graphql-server-core-1.2.0,3,5.5e-05,0.0005,5
hera,0.0,0.831976837,87,3248,hera-5.1.3,2,3.5e-05,0.0,37
hvplot,0.0,0.601694916,79,7761,hvplot-0.8.3,8,3.5e-05,0.0,64
textual,0.0,0.645770809,90,1320,textual-0.1.18,5,8.2e-05,0.00187,4
spglib,0.0,0.630772396,84,9139,spglib-2.0.2,4,4.5e-05,0.00148,2
flex,0.0,0.7439606,60,4873,flex-6.14.1,9,3.8e-05,0.00048,35
chameleon,0.0,0.720923782,81,2968,chameleon-4.0.0,3,4.8e-05,0.00146,1
django-haystack,0.0,0.688572416,74,438,django-haystack-3.2.1,2,4.5e-05,0.00046,5
posix-ipc,0.0,0.797829208,65,3958,posix-ipc-1.1.1,1,5e-05,0.00046,1
traceml,0.0,0.646818268,75,6973,traceml-1.0.8,3,7.2e-05,0.00142,1
datatile,0.0,0.856778149,66,6974,datatile-1.0.3,2,3.7e-05,0.00048,2
simpy,0.0,0.717180499,74,6517,simpy-4.0.1,2,4.7e-05,0.00091,1
recordclass,0.0,0.671641247,70,3348,recordclass-0.18.3,1,4e-05,0.00046,1
pymediainfo,0.0,0.76920818,65,10993,pymediainfo-6.0.1,1,4.5e-05,0.00046,1
flask-graphql,0.0,0.774780683,61,5147,flask-graphql-2.0.1,5,7.1e-05,0.00091,16
uhashring,0.0,0.716611056,65,8648,uhashring-2.3,1,5e-05,0.0005,1
sphinxcontrib-napoleon,0.0,0.493103644,72,1621,sphinxcontrib-napoleon-0.7,4,6.4e-05,0.00098,3
pilkit,0.0,0.632809069,78,5858,pilkit-2.0,1,4.3e-05,0.00048,1
anndata,0.0,0.619064236,87,9652,anndata-0.9.1,7,3.8e-05,0.00046,19
moz-sql-parser,0.0,0.61673699,60,10604,moz-sql-parser-4.40.21126,4,4.2e-05,0.00046,6
internetarchive,0.0,0.59202748,82,5934,internetarchive-3.4.0,8,4.6e-05,0.00091,34
asyncua,0.0,0.706856141,85,3976,asyncua-1.0.2,7,3.8e-05,0.00046,12
laspy,0.0,0.590745689,84,8224,laspy-2.4.1,2,4.5e-05,0.00046,2
sudachidict-full,0.0,0.70748233,77,10594,sudachidict-full-20210608,2,4.2e-05,0.00046,5
pymoo,0.0,0.671641247,68,7466,pymoo-0.6.0.1,9,3.9e-05,0.00046,42
clint,0.0,0.597938569,60,78,clint-0.5.1,8,9.7e-05,0.00324,2
googlesearch-python,0.0,0.67852155,66,782,googlesearch-python-1.2.3,2,3.5e-05,0.0,31
stem,0.0,0.671641247,78,9597,stem-1.8.1,2,6.2e-05,0.00094,1
contextily,0.0,0.760495787,81,2317,contextily-1.3.0,10,4.2e-05,0.00091,69
pingouin,0.0,0.74656162,74,3765,pingouin-0.5.3,11,3.9e-05,0.00046,134
feedgen,0.0,0.671641247,61,2865,feedgen-0.9.0,5,4.4e-05,0.00137,5
zodb,0.0,0.644022088,70,1923,zodb-5.8.0,20,9.4e-05,0.00573,13
networkit,0.0,0.671641247,80,13186,networkit-10.1,3,3.9e-05,0.00046,9
grpc-requests,0.0,0.667912832,73,12451,grpc-requests-0.1.10,5,3.5e-05,0.0,51
vispy,0.0,0.583613367,93,1130,vispy-0.12.2,10,5.9e-05,0.00235,6
psygnal,0.0,0.787258229,76,6270,psygnal-0.9.0,4,4.5e-05,0.00096,3
jsonrpcclient,0.0,0.77197648,68,10348,jsonrpcclient-4.0.3,1,4.5e-05,0.00046,1
hatch-nodejs-version,0.0,0.6627666,76,11148,hatch-nodejs-version-0.3.1,1,3.5e-05,0.0,8
pyld,0.0,0.763935796,67,1781,pyld-2.0.3,4,4e-05,0.0005,4
dgl,0.0,0.633824364,85,5313,dgl-1.0.1,7,4.1e-05,0.00046,65
keystonemiddleware,0.0,0.671641247,85,13108,keystonemiddleware-10.2.0,15,3.6e-05,0.00046,65
gpy,0.0,0.590372152,82,3572,gpy-1.10.0,13,7e-05,0.00368,13
python-barbicanclient,0.0,0.558923516,78,5592,python-barbicanclient-5.5.0,8,5e-05,0.00046,66
findlibs,0.0,0.66309125,65,10916,findlibs-0.0.2,1,4.3e-05,0.0005,1
pyasn,0.0,0.774367131,76,141,pyasn1-0.4.8,37,0.001454,0.02102,1
eccodes,0.0,0.629899084,76,10915,eccodes-1.5.2,7,4.5e-05,0.00098,8
nipype,0.0,0.763823413,80,7610,nipype-1.8.3,16,4e-05,0.00046,75
docopt-ng,0.0,0.744474024,82,8991,docopt-ng-0.8.1,1,4.8e-05,0.00048,1
hacking,0.0,0.583187637,84,7854,hacking-5.0.0,1,3.5e-05,0.0,5
openslide-python,0.0,0.790497792,79,2053,openslide-python-1.2.0,7,5.4e-05,0.00231,3
ics,0.0,0.742569421,71,2468,ics-0.7.2,6,4.2e-05,0.00046,7
xblock,0.0,0.648798271,72,10075,xblock-1.6.2,11,0.000104,0.00137,13
superqt,0.0,0.699630808,84,6269,superqt-0.4.1,6,4.2e-05,0.00096,5
spacy-lookups-data,0.0,0.556411358,71,6705,spacy-lookups-data-1.0.3,2,4.1e-05,0.00046,2
hdijupyterutils,0.0,0.625086798,82,5607,hdijupyterutils-0.20.5,7,3.5e-05,0.0,178
quantities,0.0,0.73627472,71,5670,quantities-0.14.1,5,5.5e-05,0.00196,2
web-fragments,0.0,0.691291571,78,10076,web-fragments-2.0.0,1,4.6e-05,0.00052,1
polyglot,0.0,0.755000573,64,10300,polyglot-16.7.4,1,3.8e-05,0.00046,1
pyopencl,0.0,0.661513932,79,10346,pyopencl-2022.3.1,7,4.8e-05,0.00137,6
python-intercom,0.0,0.75931312,58,12077,python-intercom-3.1.0,6,4.5e-05,0.00046,31
guessit,0.0,0.752072344,77,5185,guessit-3.7.1,4,4.2e-05,0.00046,6
lazy-imports,0.0,0.710952036,68,7409,lazy-imports-0.3.1,1,4.2e-05,0.00046,1
django-tastypie,0.0,0.692087643,90,9092,django-tastypie-0.14.5,3,3.8e-05,0.00046,5
eel,0.0,0.627951552,68,10722,eel-0.16.0,6,3.9e-05,0.00046,12
httpbin,0.0,0.578815096,84,3689,httpbin-0.7.0,9,4.5e-05,0.00046,21
timing-asgi,0.0,0.671641247,71,10781,timing-asgi-0.3.0,2,3.8e-05,0.00046,2
python-gettext,0.0,0.810067186,62,2240,python-gettext-5.0,1,4.1e-05,0.00064,1
horovod,0.0,0.555427699,85,13480,horovod-0.27.0,5,3.5e-05,0.0,8
sigfig,0.0,0.745866671,70,5897,sigfig-1.3.2,2,4e-05,0.00046,2
earthengine-api,0.0,0.671641247,86,4217,earthengine-api-0.1.349,12,8.1e-05,0.00233,77
casadi,0.0,0.671641247,76,3680,casadi-3.6.0,3,5.4e-05,0.00094,2
async-upnp-client,0.0,0.75250062,78,814,async-upnp-client-0.33.1,6,4.2e-05,0.00046,29
hdx-python-country,0.0,0.668818858,76,1617,hdx-python-country-3.4.8,4,4.1e-05,0.00052,118
hdx-python-utilities,0.0,0.668477021,74,1623,hdx-python-utilities-3.5.8,13,4.7e-05,0.00048,94
libhxl,0.0,0.652071337,70,1624,libhxl-4.29,15,5.5e-05,0.0014,56
aiohttp-client-cache,0.0,0.636301679,81,4351,aiohttp-client-cache-0.6.1,6,4.4e-05,0.00048,30
colourmap,0.0,0.847073608,61,1763,colourmap-1.1.10,9,6.3e-05,0.00331,29
healpy,0.0,0.574886053,81,5852,healpy-1.16.2,7,5e-05,0.00139,35
fanstatic,0.0,0.625700035,75,5663,fanstatic-1.3,6,9.1e-05,0.0019,3
adafruit-blinka,0.0,0.70691724,87,4742,adafruit-blinka-8.18.0,26,0.00057,0.01035,12
daiquiri,0.0,0.774508445,60,5131,daiquiri-3.2.1,2,4.1e-05,0.00046,2
powerline-status,0.0,0.545265131,69,10172,powerline-status-2.7,1,6.5e-05,0.00046,1
gpt-index,0.0,0.588089183,81,2302,gpt-index-0.5.15,7,3.5e-05,0.0,90
bibtexparser,0.0,0.744614387,87,4097,bibtexparser-1.4.0,7,7.4e-05,0.00279,2
grad-cam,0.0,0.771768214,74,7967,grad-cam-1.4.6,9,3.5e-05,0.0,100
adafruit-platformdetect,0.0,0.713165582,84,4746,adafruit-platformdetect-3.45.1,3,0.000199,0.00195,1
python-jsonschema-objects,0.0,0.671641247,78,10928,python-jsonschema-objects-0.4.1,5,3.9e-05,0.00046,21
magicgui,0.0,0.755689243,81,6265,magicgui-0.7.2,6,3.6e-05,0.00048,9
dowhy,0.0,0.587850513,85,259,dowhy-0.7.1,9,3.8e-05,0.00046,51
leidenalg,0.0,0.64594811,76,4006,leidenalg-0.9.1,3,4.2e-05,0.00091,3
geemap,0.0,0.742363633,90,4999,geemap-0.20.5,17,3.7e-05,0.00046,164
xds-protos,0.0,0.649163248,93,2384,xds-protos-0.0.11,3,4.9e-05,0.00048,3
mpire,0.0,0.667873806,78,13350,mpire-2.7.1,3,3.8e-05,0.00046,3
