Package,Overall,FinalRiskScore,Score,Id,Label,Degree,Pageranks,Eigencentrality,In_reach
sly,1.95,0.71686806,68,4656,sly-0.5,1,6.5e-05,0.00046,1
qdarkstyle,1.95,0.740389164,71,4161,qdarkstyle-3.1,3,4e-05,0.00091,3
backcall,1.89,0.836479519,68,472,backcall-0.2.0,7,9.2e-05,0.0051,1
pytzdata,1.89,0.682888687,70,207,pytzdata-2020.1,3,0.000142,0.00198,1
imagesize,1.89,0.768031625,76,1226,imagesize-1.4.1,15,0.0001,0.00804,1
pydot,1.89,0.892554698,80,266,pydot-1.4.2,21,0.000181,0.0093,2
langcodes,1.89,0.783402734,70,1385,langcodes-3.3.0,5,5.4e-05,0.00232,4
korean-lunar-calendar,1.89,0.683837011,64,1088,korean-lunar-calendar-0.3.1,2,5.8e-05,0.00107,1
terminaltables,1.89,0.709934189,70,1005,terminaltables-3.1.10,14,0.000142,0.00651,1
binaryornot,1.89,0.639795876,79,2631,binaryornot-0.4.4,3,5.5e-05,0.00105,2
gspread-dataframe,1.89,0.794822018,65,7705,gspread-dataframe-3.3.0,4,4.4e-05,0.00048,62
memoization,1.89,0.671641247,61,10039,memoization-0.4.0,2,6.6e-05,0.00094,1
jsonfield,1.89,0.881993421,64,3871,jsonfield-3.1.0,2,3.9e-05,0.00046,5
radon,1.89,0.777430447,74,3631,radon-4.5.0,4,3.6e-05,0.00046,5
coolname,1.89,0.811555134,65,7601,coolname-2.2.0,1,3.6e-05,0.0005,1
speedtest-cli,1.89,0.708125808,58,7934,speedtest-cli-2.1.3,3,5.3e-05,0.00137,1
gspread-formatting,1.89,0.809608017,62,4222,gspread-formatting-1.1.2,1,3.5e-05,0.0,52
pyjks,1.89,0.775312955,60,1074,pyjks-20.0.0,13,6.5e-05,0.0037,6
unicodecsv,1.86,0.702218085,79,1006,unicodecsv-0.14.1,11,9.5e-05,0.00525,1
alabaster,1.86,0.76464152,88,1225,alabaster-0.7.13,14,9.7e-05,0.00759,1
aws-requests-auth,1.86,0.791464509,70,3080,aws-requests-auth-0.4.3,7,7.7e-05,0.00231,30
furl,1.86,0.77057405,61,1714,furl-2.1.3,16,9.7e-05,0.0064,3
grandalf,1.86,0.794481358,66,6981,grandalf-0.8,1,3.5e-05,0.0,2
fhir-resources,1.86,0.785664653,72,3267,fhir-resources-6.0.0,2,4.5e-05,0.00046,11
python-bidi,1.81,0.811572677,61,2212,python-bidi-0.4.2,4,6e-05,0.00139,2
facebook-sdk,1.81,0.583607336,67,12728,facebook-sdk-3.1.0,2,3.8e-05,0.00046,28
cloudscraper,1.81,0.651065977,73,2779,cloudscraper-1.2.69,7,5.6e-05,0.00142,36
tableschema-to-template,1.81,0.738553499,62,1630,tableschema-to-template-0.0.13,4,3.8e-05,0.00048,21
pyowm,1.81,0.742503026,69,11935,pyowm-3.3.0,5,7.9e-05,0.00091,29
glfw,1.73,0.766715474,70,785,glfw-2.5.9,6,9.6e-05,0.00285,1
ndg-httpsclient,1.7,0.64077686,64,1619,ndg-httpsclient-0.5.1,9,6e-05,0.00237,13
mercantile,1.65,0.750732099,64,2320,mercantile-1.2.1,2,3.9e-05,0.0005,2
aenum,1.62,0.652320493,81,1575,aenum-3.1.12,10,0.000116,0.00482,1
parsedatetime,1.49,0.743418583,80,1893,parsedatetime-2.6,8,8.9e-05,0.00377,1
pyppeteer,1.46,0.743682108,70,1042,pyppeteer-1.0.2,14,0.000115,0.00248,22
python-docx,1.41,0.781219796,69,1884,python-docx-0.8.11,6,7.6e-05,0.00235,2
django-polymorphic,1.3,0.594100767,67,9532,django-polymorphic-3.1.0,6,7.2e-05,0.0024,5
cfscrape,1.24,0.775767654,61,4162,cfscrape-2.1.1,2,3.7e-05,0.00048,28
dicttoxml,1.16,0.784279036,66,3870,dicttoxml-1.7.16,5,5.5e-05,0.00233,1
mergedeep,1.08,0.827559147,70,3307,mergedeep-1.3.4,2,4.5e-05,0.00103,1
requests-html,1.08,0.59463491,61,1039,requests-html-0.10.0,14,9.3e-05,0.0032,59
typing-extensions,0.0,0.658811077,94,249,typing-extensions-4.5.0,267,0.004811,0.14449,1
pytz,0.0,0.786790187,85,24,pytz-2023.3,200,0.003114,0.121442,1
numpy,0.0,0.260893907,94,10,numpy-1.24.2,1927,0.024948,1.0,1
protobuf,0.0,0.796701697,93,97,protobuf-4.22.3,254,0.00359,0.13133,1
pydantic,0.0,0.613224668,94,246,pydantic-1.10.7,155,0.001503,0.0704,10
distlib,0.0,0.735784534,84,384,distlib-0.3.6,2,6.7e-05,0.00128,1
iniconfig,0.0,0.633863657,81,1015,iniconfig-2.0.0,11,0.000267,0.00826,1
pathspec,0.0,0.620044198,85,2556,pathspec-0.11.1,10,0.000129,0.00532,1
pexpect,0.0,0.671641247,84,474,pexpect-4.8.0,34,0.00032,0.01747,2
ruamel-yaml,0.0,0.627899463,87,927,ruamel-yaml-0.17.21,62,0.000567,0.0288,2
py,0.0,0.847723825,80,166,py-1.11.0,22,0.000318,0.01118,1
poetry-plugin-export,0.0,0.757392846,88,9591,poetry-plugin-export-1.3.0,3,3.7e-05,0.0005,91
future,0.0,0.671641247,90,129,future-0.18.3,154,0.001809,0.07324,1
cachecontrol,0.0,0.605549023,89,637,cachecontrol-0.12.11,3,4.9e-05,0.00048,29
awswrangler,0.0,0.55066192,100,2112,awswrangler-3.0.0,7,4.5e-05,0.00046,38
rich,0.0,0.65949082,94,162,rich-13.3.4,86,0.000749,0.04033,8
pycodestyle,0.0,0.70649497,97,2495,pycodestyle-2.3.1,2,6.2e-05,0.00094,1
termcolor,0.0,0.758324166,81,671,termcolor-2.2.0,62,0.00078,0.03053,1
uritemplate,0.0,0.689428078,78,614,uritemplate-4.1.1,26,0.000324,0.0143,1
pyspark,0.0,0.395745468,90,6629,pyspark-3.4.0,5,6.6e-05,0.00183,2
ply,0.0,0.671641247,80,1535,ply-3.11,27,0.000563,0.01332,1
sortedcontainers,0.0,0.630070068,79,581,sortedcontainers-2.4.0,38,0.00063,0.01931,1
blinker,0.0,0.904775473,87,918,blinker-1.5,1,4.2e-05,0.0005,1
xlrd,0.0,0.676061779,80,657,xlrd-2.0.1,33,0.000179,0.01555,1
nbconvert,0.0,0.64236639,100,448,nbconvert-7.3.1,31,0.000106,0.008,47
mdurl,0.0,0.828002022,70,169,mdurl-0.1.2,2,0.000193,0.00125,1
ipykernel,0.0,0.533927788,97,449,ipykernel-6.22.0,37,0.000224,0.01227,36
jupyter-server,0.0,0.500627338,97,507,jupyter-server-2.5.0,25,0.000106,0.00355,65
tensorflow,0.0,0.398983919,94,670,tensorflow-2.12.0,73,0.00048,0.02203,88
astroid,0.0,0.515121592,91,2602,astroid-2.15.2,5,4.3e-05,0.00105,4
pyproject-hooks,0.0,0.636793978,86,4673,pyproject-hooks-1.0.0,3,5.6e-05,0.0011,2
pylint,0.0,0.443560138,100,2604,pylint-2.17.2,13,5.9e-05,0.00233,12
pbr,0.0,0.671641247,83,1067,pbr-5.11.1,74,0.001159,0.03888,1
numba,0.0,0.671641247,94,276,numba-0.56.4,48,0.000386,0.02032,6
tensorflow-estimator,0.0,0.642168592,91,684,tensorflow-estimator-2.12.0,1,5.1e-05,0.00152,1
crashtest,0.0,0.812098482,72,9589,crashtest-0.4.1,2,5.2e-05,0.00098,1
comm,0.0,0.668448879,82,462,comm-0.1.3,3,5.1e-05,0.00148,2
cleo,0.0,0.882775504,91,9588,cleo-2.0.1,3,3.7e-05,0.0005,3
great-expectations,0.0,0.620973806,94,3512,great-expectations-0.16.7,30,6.5e-05,0.00046,182
humanfriendly,0.0,0.756687242,76,2866,humanfriendly-10.0,9,0.000276,0.00474,1
ipywidgets,0.0,0.650128916,91,450,ipywidgets-8.0.6,38,0.000455,0.01582,39
notebook-shim,0.0,0.508616654,89,508,notebook-shim-0.2.2,3,3.7e-05,0.00051,67
keras,0.0,0.609034932,94,680,keras-2.12.0,19,0.000194,0.00977,1
jupyter-events,0.0,0.632209011,88,510,jupyter-events-0.6.3,8,5.3e-05,0.0011,22
torch,0.0,0.304238481,94,298,torch-2.0.0,153,0.001438,0.06272,63
execnet,0.0,0.610734503,88,4032,execnet-1.9.0,4,5.8e-05,0.00192,1
selenium,0.0,0.528159757,97,327,selenium-3.141.0,11,0.000134,0.0037,15
docopt,0.0,0.754159481,76,221,docopt-0.6.2,110,0.00139,0.05128,1
unidecode,0.0,0.742305746,87,703,unidecode-0.4.21,2,5.6e-05,0.00094,1
retrying,0.0,0.646692633,72,966,retrying-1.3.4,12,0.000141,0.00524,2
jupyter-server-terminals,0.0,0.647333286,85,511,jupyter-server-terminals-0.4.4,2,4e-05,0.00062,5
thrift,0.0,0.671641247,90,1075,thrift-0.16.0,11,0.000144,0.00427,3
python-gnupg,0.0,0.619213378,85,3322,python-gnupg-0.5.0,4,9.8e-05,0.00183,1
trio-websocket,0.0,0.707302245,91,1567,trio-websocket-0.10.2,8,0.000235,0.00351,14
shap,0.0,0.616125903,88,262,shap-0.40.0,20,4.1e-05,0.00137,40
accelerate,0.0,0.713698991,100,5308,accelerate-0.18.0,8,4.1e-05,0.00091,66
coloredlogs,0.0,0.764199309,77,3157,coloredlogs-15.0.1,24,0.000157,0.01078,2
wandb,0.0,0.594134573,88,5909,wandb-0.14.2,15,4.4e-05,0.00091,61
fire,0.0,0.731770395,91,3076,fire-0.5.0,27,0.000256,0.01152,3
slicer,0.0,0.747265624,68,277,slicer-0.0.7,2,3.7e-05,0.00098,1
kfp,0.0,0.508586883,85,3740,kfp-1.8.20,24,4.9e-05,0.00091,136
validators,0.0,0.670220531,91,1636,validators-0.20.0,26,0.000217,0.01179,2
holidays,0.0,0.674455247,97,1083,holidays-0.22,7,4.1e-05,0.00096,8
kfp-server-api,0.0,0.64032791,91,3744,kfp-server-api-1.8.5,5,3.7e-05,0.0005,16
pycountry,0.0,0.619416466,73,3414,pycountry-22.3.5,7,7e-05,0.00277,2
avro,0.0,0.519627176,93,6683,avro-1.11.1,1,3.6e-05,0.00046,1
flask-sqlalchemy,0.0,0.554159994,97,3907,flask-sqlalchemy-3.0.3,8,6.3e-05,0.00292,14
xlwt,0.0,0.671641247,65,1631,xlwt-1.3.0,8,7.4e-05,0.00372,1
qtconsole,0.0,0.696463892,91,453,qtconsole-5.4.2,23,6.6e-05,0.00425,47
lit,0.0,0.553132475,94,316,lit-16.0.1,1,5.1e-05,0.00055,1
